Entity,Code ISO3,Year,Status of net-zero carbon emissions targets,by_2050_law,other
Mauritania,MRT,2030,Proposed / in discussion,FALSE,TRUE
Mauritius,MUS,2050,Proposed / in discussion,FALSE,TRUE
Mexico,MEX,2050,Proposed / in discussion,FALSE,TRUE
Micronesia (country),FSM,2050,Declaration / pledge,FALSE,TRUE
Moldova,MDA,2030,In policy document,FALSE,TRUE
Monaco,MCO,2050,In policy document,FALSE,TRUE
Mongolia,MNG,2030,In policy document,FALSE,TRUE
Montenegro,MNE,2030,In policy document,FALSE,TRUE
Morocco,MAR,2030,In policy document,FALSE,TRUE
Mozambique,MOZ,2050,Proposed / in discussion,FALSE,TRUE
Myanmar,MMR,2050,Proposed / in discussion,FALSE,TRUE
Namibia,NAM,2050,In policy document,FALSE,TRUE
Nauru,NRU,2050,Proposed / in discussion,FALSE,TRUE
Nepal,NPL,2045,In policy document,FALSE,TRUE
Netherlands,NLD,2050,In law,TRUE,TRUE
New Zealand,NZL,2050,In law,TRUE,TRUE
Nicaragua,NIC,2050,Proposed / in discussion,FALSE,TRUE
Niger,NER,2050,Proposed / in discussion,FALSE,TRUE
Nigeria,NGA,2070,In law,FALSE,TRUE
Niue,NIU,2050,Proposed / in discussion,FALSE,TRUE
North Korea,PRK,2030,In policy document,FALSE,TRUE
Macedonia,MKD,2030,In policy document,FALSE,TRUE
Norway,NOR,2050,In law,TRUE,TRUE
Oman,OMN,2050,In policy document,FALSE,TRUE
Pakistan,PAK,2050,Proposed / in discussion,FALSE,TRUE
Palau,PLW,2050,Proposed / in discussion,FALSE,TRUE
Palestine,PSE,2040,In policy document,FALSE,TRUE
Panama,PAN,2050,In policy document,FALSE,TRUE
Papua New Guinea,PNG,2050,In policy document,FALSE,TRUE
Paraguay,PRY,2030,In policy document,FALSE,TRUE
Peru,PER,2050,In policy document,FALSE,TRUE
Philippines,PHL,2030,In policy document,FALSE,TRUE
Poland,POL,2030,In policy document,FALSE,TRUE
Portugal,PRT,2050,In law,TRUE,TRUE
Qatar,QAT,2030,In policy document,FALSE,TRUE
